country,years,fertility,female_percentage,0-4_female,10-14_female,25-29_female,35-39_female,50-54_female,0-4_male,10-14_male,25-29_male,35-39_male,50-54_male
Algeria,10,0.9824448870105865,0.0,0.0036024501712013063,0.0016729920071543267,0.0006644788168930444,0.0008497141212258954,0.001670455617950798,0.004211863817095665,0.0020016568270005905,0.0011943850347189832,0.0009496907151699786,0.0007077022926160628
Algeria,20,0.9675855187149133,6.308078882858005e-07,0.005575661178484815,0.0036153763145787923,0.0024126160928401694,0.0007854689412537751,0.002227909048244128,0.009089384026727492,0.0037113645868571362,0.0008526787520396863,0.0012698039171487492,0.002101385794304306
Algeria,50,0.9471643130598754,1.1122914181914877e-05,0.014907327303076229,0.014720481351598326,0.003153458061086333,0.00020847440622687483,0.00033011546281414223,0.004461349697997932,0.002312514657358806,0.001246445365477531,0.0013193506122923886,0.004425428437196365
Algeria,100,0.9225308650070765,5.186793245229448e-05,0.023114597573892347,0.020390429961549612,0.0028762984893760312,1.9718027187386626e-05,3.092878325156763e-05,0.0022782673641603022,0.001993060711546906,0.0011870095215695798,0.0005769736646641595,0.0007932235739142073
American Samoa,10,0.9293398814479408,0.0,0.004383647380309135,0.015308080426471964,0.010091630089536476,0.0025966548391303593,0.0016411113006381188,0.004994207575539641,0.01030367893659287,0.015432919140377038,0.003800569767030504,0.0020212905531434636
American Samoa,20,0.8905531702152373,6.97227666845533e-07,0.009635859064544571,0.018730019584904778,0.033406758916302924,0.0044018245229987055,0.0013852613619108592,0.011103781450043001,0.006802100309316139,0.01200737988658206,0.008070413120073863,0.0021554886538258876
American Samoa,50,0.7903408786609307,0.00010487997727692552,0.026037946941842395,0.10108169500296146,0.030665889395233806,0.0013673969075897285,0.00024498024711945034,0.005167173435146024,0.006654304987135933,0.007871837337673134,0.0060376510631644405,0.0042648432543045305
American Samoa,100,0.7026103169658802,0.00031791897875887374,0.037231411014644326,0.13514762811505182,0.025146898017328143,0.00014818646485662576,1.9559195446577705e-05,0.0021190134815315693,0.004469600720550385,0.0042051944481343645,0.002184017514332377,0.0004990200799299447
Andorra,10,0.3406575156170159,0.0,0.010648186940812538,0.060231605798340124,0.05038067595630746,0.08307129273660835,0.03570639193132684,0.01906269230265826,0.06090767569500165,0.11147830863418177,0.15938984358606045,0.06833346848956108
Andorra,20,0.3731805781868963,7.7880998951301e-07,0.02096257493589219,0.05555323912804829,0.10766039597214751,0.057874803747027345,0.024729671084517013,0.03667943192412593,0.03708708951319564,0.09810566997677297,0.11699924229362248,0.0668765602681792
Andorra,50,0.43564742961508,8.093080192937261e-05,0.05580700477832379,0.16054977094241943,0.08751685903011193,0.013469752081610125,0.002846005419467295,0.02821016943901659,0.03196830574266236,0.04006328711179325,0.04982775222081851,0.052146345668136605
Andorra,100,0.43335098730042126,0.00048228562932239394,0.08674717165824174,0.18745280060647085,0.06300193540139366,0.0011998597344632456,0.00019090035591511824,0.012389789114082568,0.013607440173186299,0.012024077574540465,0.009319102532307793,0.0027752139660399268
Angola,10,0.8517201464111246,0.0,0.05763088085007101,0.016760834212883963,0.006317114241605697,0.010568383751792022,0.00231266129277049,0.02831236813165146,0.013111053602705687,0.0051534227179412416,0.007109142382821878,0.0009358860177787991
Angola,20,0.8092153828508598,2.937839323414982e-06,0.04469931794546181,0.029084798974325927,0.02675097395641439,0.010116872391647101,0.002048057803723714,0.028705650186606615,0.023813806584644607,0.009241447289602448,0.013518676667159035,0.0022257560642078853
Angola,50,0.7248270080588273,3.47776569709481e-05,0.09446858314149027,0.07096085160565997,0.026678680809482255,0.002996068857660519,0.00045420853281741443,0.019608130989187997,0.01420358704429106,0.010490272656372746,0.023606086308200575,0.006947314922964385
Angola,100,0.6936659133972439,0.0002689512514229587,0.1324283136070934,0.0852882363976416,0.023072493688036856,0.00036396601072399024,5.207529761890968e-05,0.010059479026022795,0.007810348131312813,0.006369396011257149,0.014546902360617966,0.005368409569085557
Anguilla,10,0.9364231146758344,0.0,0.0015978721058573652,0.0013729845265961558,0.013596760896286923,0.0024286206744379684,0.0012246750588493383,0.0021526556327133026,0.002205728227031239,0.01615103051875389,0.017483308317651727,0.005374033186320394
Anguilla,20,0.8556612034432843,4.409229830453846e-06,0.010607017470094425,0.002633191560597616,0.06433861908827625,0.0024091660590736304,0.001727059862893996,0.015255209889605386,0.002033331075516407,0.011650891861134546,0.015857197412409808,0.011659343262196508
Anguilla,50,0.7803911153199661,0.0006984267477075252,0.03361947612150881,0.022320184175770728,0.08179295073170594,0.0005520583264796251,0.00024984261419511996,0.005356461213951661,0.0018842227216457723,0.008494079609300488,0.007703680535585089,0.018102774040965452
Anguilla,100,0.6727113139802742,0.0022591629509389117,0.05484217236163171,0.03616968230713824,0.07215516241997008,-2.6903851007732568e-05,1.3969379299985115e-05,0.001068367759081817,0.0013721494013709075,0.004768138328065965,0.0012233283847403154,0.0002741042202507775
Antigua and Barbuda,10,0.9464317645860105,0.0,0.0009186661171541198,0.0011726046358996442,0.01164100955670937,0.0008409935462547735,0.004720830947050993,0.0008727738960547287,0.0010645140605360186,0.018626538732686247,0.008102855850695779,0.005585763865456318
Antigua and Barbuda,20,0.9114784374621772,1.1750818869409088e-07,0.003066660253312286,0.0016879050680743018,0.03786924346215391,0.0008774181294800215,0.004101238669404328,0.0028922729077913174,0.0007946344718697194,0.01986898440804647,0.009037293214112412,0.007006061204029186
Antigua and Barbuda,50,0.8884485510053132,2.8907096309903476e-05,0.008619908164216311,0.009763046467365548,0.04159691998401233,0.0002416761068985243,0.000760171907205779,0.0012662736776237042,0.0007577617318596308,0.014491617340044814,0.006855602753350473,0.018149649995951814
