country,fertility,female_percentage,0-4_female,5-9_female,10-14_female,15-19_female,20-24_female,25-29_female,30-34_female,35-39_female,40-44_female,45-49_female,50-54_female,55-59_female,60-64_female,65-69_female,70-74_female,75-79_female,80-84_female,85-89_female,90-94_female,95-99_female,0-4_male,5-9_male,10-14_male,15-19_male,20-24_male,25-29_male,30-34_male,35-39_male,40-44_male,45-49_male,50-54_male,55-59_male,60-64_male,65-69_male,70-74_male,75-79_male,80-84_male,85-89_male,90-94_male,95-99_male
Chile,"[1.5197694926309404, 4.048344570729264]","[0.48869085087024683, 0.4956151688837483]","[0.9598786070675377, 1.0286098674639683]","[0.9905711274184121, 1.0158299225278327]","[0.9796883078513923, 1.0570958646616542]","[0.9564206323640408, 1.12072090418491]","[0.9409019962211451, 1.1239527520015324]","[0.9439086442768851, 1.0958163662371685]","[0.9463122363650676, 1.0689878302515239]","[0.9470236263911138, 1.044459136245392]","[0.9466763923561111, 1.0246333791147932]","[0.9351834121008327, 1.0092862960733247]","[0.9209837206321302, 0.9961178805156677]","[0.895204967255093, 0.9830993867419449]","[0.8393034675985901, 0.9664115851624908]","[0.7518023795833517, 0.9388190505019341]","[0.605082930312571, 0.8958196162231851]","[0.4025157232704403, 0.8243719535058118]","[0.18628912071535023, 0.7142697456668683]","[0.03877917414721724, 0.5785614839892227]","[0.0, 0.4174045029091829]","[0.0, 0.2809401804611786]","[0.956762691377921, 1.0275625070941994]","[0.9906310198590554, 1.0148109367048967]","[0.9811655798789007, 1.0487120252378468]","[0.9571936775243252, 1.1045086802502702]","[0.9402788025719405, 1.1107287364101812]","[0.9403127745980479, 1.0880774602635115]","[0.9413331407264289, 1.0654533033078288]","[0.9367382833780398, 1.04241504036028]","[0.9274770299705662, 1.0219658853847098]","[0.9118361313483264, 1.0042034256864838]","[0.8891262647842253, 0.986990442719392]","[0.8535189340171253, 0.9688613707576308]","[0.7984395724428494, 0.9441496175383377]","[0.7045358102692253, 0.9044150500650927]","[0.5681034482758621, 0.8436757315514289]","[0.39032689269656096, 0.7563947814474292]","[0.19867856728874464, 0.635748801740784]","[0.05703883495145631, 0.4940487123911686]","[0.0015923566878980893, 0.35560078953861335]","[0.0, 0.2592304702681695]"
China,"[1.4592682710681248, 5.704794197729688]","[0.4599088348786931, 0.48786509263947075]","[0.9020513418751803, 0.9979691427602667]","[0.9629870976970297, 0.9983734855452988]","[0.9749900731359511, 0.9976750181921508]","[0.9742880685169821, 0.9962190478629998]","[0.969558258093031, 0.9958817517541934]","[0.9670497622615511, 0.9959208372577433]","[0.9624091855576707, 0.995769534456676]","[0.951967332335331, 0.9948744685150123]","[0.9375619798061758, 0.992868743327446]","[0.9172314810445966, 0.9894829401068757]","[0.8921176590192823, 0.9841032614015476]","[0.8491732766147434, 0.973906122755191]","[0.7658426945522876, 0.9561721537074869]","[0.6675565759904093, 0.92597170688509]","[0.5423517706419585, 0.8705924330675013]","[0.41104814306216797, 0.7747236786125126]","[0.2624659764709171, 0.6304142123311536]","[0.15118989335660615, 0.4589851758740372]","[0.0654297696439515, 0.264051401489475]","[0.01968019680196802, 0.13136460037361986]","[0.9042652494280767, 0.9978686737046663]","[0.9597154379575443, 0.9979424945477099]","[0.9700388262868846, 0.9969936210316563]","[0.9693336168729809, 0.9951342588380412]","[0.9632887366208872, 0.9942123442330463]","[0.959460573616192, 0.9939188140263862]","[0.9541470926104152, 0.9935171218882649]","[0.9394948141634009, 0.9912580871446971]","[0.9166587163968433, 0.9862561826511362]","[0.8847747390397517, 0.9781541898472331]","[0.8409253354907363, 0.966381072453489]","[0.7759600392483669, 0.9445647512027653]","[0.672368137986691, 0.9106818665835134]","[0.5668205728987206, 0.8642945017823598]","[0.44245012868612915, 0.7886176778326943]","[0.3293202389219055, 0.6718046692688474]","[0.21065883475614475, 0.5125103265584445]","[0.11311792232609144, 0.33259119034458334]","[0.036546999500161714, 0.1540880038968515]","[0.0008661758336942399, 0.03683360258481422]"
China Hong Kong SAR,"[0.7726142162998175, 5.030491763800386]","[0.47200312505086345, 0.48724607560223865]","[0.9761107470680199, 1.1565494251635335]","[0.9982739459468262, 1.1387546295062747]","[0.9878871026371642, 1.13935126205709]","[0.9870489922988694, 1.2069792312688312]","[0.9995372912945898, 1.2301589328429996]","[0.9899732855284896, 1.1515209567728075]","[0.9855445351687417, 1.0754604556143132]","[0.971327117038139, 1.0818551033413546]","[0.9635198490859156, 1.0720031337396263]","[0.961725757198896, 1.0534251800659682]","[0.966481724128518, 1.04912123586701]","[0.9655055523085915, 1.0362781586679726]","[0.937368528926333, 1.0565234663185972]","[0.8304585512983647, 1.0247391952309985]","[0.6587638979725311, 0.9388012562636742]","[0.45755770662695455, 0.9608939568371617]","[0.37423601316408084, 0.80171241182239]","[0.34448818897637795, 0.6918637604987891]","[0.18928571428571428, 0.6825489622917276]","[0.075, 0.44869312681510165]","[0.977531077988744, 1.1329616928602773]","[0.9893087444667392, 1.1599400775467044]","[0.966661957164461, 1.1930382845393126]","[0.9707920879535029, 1.1547311668397884]","[0.9935438789027167, 1.1280911579857456]","[0.9689090766700603, 1.114803377246296]","[0.9505693170269691, 1.103471438782628]","[0.9571141743843694, 1.084769890185527]","[0.9478438667940402, 1.0408337841987512]","[0.9398196401867042, 1.0241269483356352]","[0.9192350422549277, 0.9980880782661395]","[0.881445570736007, 0.9776166947460818]","[0.8452492066455105, 0.9895737021226368]","[0.7354215261579473, 0.9400165713284151]","[0.6039719626168224, 0.8763913591689838]","[0.4181910569105691, 0.7997614291529789]","[0.25054229934924077, 0.7322020993092946]","[0.11731843575418995, 0.7128684399712437]","[0.04, 0.6990654205607477]","[0.0, 0.37567567567567567]"
China Macao SAR,"[0.8590649967378633, 4.93730393271198]","[0.4675630427958564, 0.4855510894859319]","[0.749204368174727, 1.2715979214030528]","[0.89, 1.3240122081992907]","[0.8073036951501155, 1.4217803030303031]","[0.7696827262044653, 1.3201204462434595]","[0.7154806331231501, 1.2507701503517403]","[0.778876582278481, 1.1714734901875745]","[0.7897901910998263, 1.149287356321839]","[0.7800090593386683, 1.126979544704718]","[0.7469241551160255, 1.070891514500537]","[0.7681216669958523, 1.0534996828082046]","[0.7822955390334573, 1.0439882697947214]","[0.800460696803916, 1.0601946721311475]","[0.779590419993058, 1.0230619616560155]","[0.7597597597597597, 1.0080528597976461]","[0.6324110671936759, 1.0540894220283534]","[0.5249386753883892, 1.0064583333333332]","[0.4236111111111111, 0.8469827586206896]","[0.2568306010928962, 0.6530334014996592]","[0.12244897959183673, 0.5683139534883721]","[0.0, 0.3130841121495327]","[0.7747028764999713, 1.3248354641046978]","[0.8750779204587956, 1.3147101904164051]","[0.8008135783419834, 1.2563825183903072]","[0.7320631970260223, 1.2623177963753256]","[0.6448989077387869, 1.3493783174580092]","[0.6543795620437957, 1.2528275511500826]","[0.7071518193224592, 1.18921308576481]","[0.7050369375419745, 1.1341107871720117]","[0.6899739959549264, 1.0797252289758534]","[0.6902978256897497, 1.0452982810920122]","[0.682909436653197, 1.0167439983861206]","[0.6744024939383443, 1.0055712769720553]","[0.6995753715498938, 0.9786324786324786]","[0.7388973966309341, 0.9638694638694638]","[0.6609085092770314, 0.9634172129414252]","[0.5238095238095238, 0.9127920982895688]","[0.38175675675675674, 0.7408993576017131]","[0.2159090909090909, 0.6024096385542169]","[0.08695652173913043, 0.6666666666666666]","[0.0, 0.5]"
China Taiwan Province of China,"[1.0526891245037568, 5.611651250708649]","[0.46941376857709727, 0.492428360703488]","[0.9616008122996336, 1.0159853117275182]","[0.9773548491315178, 1.0133882251008162]","[0.9764854661151489, 1.0193626336507606]","[0.9817278023602619, 1.0397839179500874]","[0.9637619747076526, 1.048177039028208]","[0.9609467362348082, 1.0411842194806584]","[0.9589740787734923, 1.027180530766793]","[0.9553070621552383, 1.0143962733505465]","[0.9523007065152929, 1.0006250856972327]","[0.9588494066847394, 0.9922188127438724]","[0.9389681818960642, 0.9870746803363913]","[0.9045489534841098, 0.9903613991454935]","[0.841350061326122, 0.9784782852982993]","[0.7419519777477809, 0.9485313915895218]","[0.6092464782074312, 0.9085956014851025]","[0.4514427919653967, 0.8336837649540623]","[0.2990012484394507, 0.7314626625083225]","[0.19435136428913355, 0.6864490448355299]","[0.1, 0.6145387643333904]","[0.03125, 2.8333333333333335]","[0.96450178987085, 1.0150862988987452]","[0.9802701081862519, 1.0114485822673205]","[0.9780812149732447, 1.0169148698088974]","[0.9768793267726541, 1.0328252931001345]","[0.9679523901057596, 1.0418553492977312]","[0.9639995104072198, 1.038273294115602]","[0.9674243371197325, 1.027726755198441]","[0.962089918952567, 1.0325539953699592]","[0.9459096453375688, 1.0355190822714417]","[0.9357449343182329, 1.0267081968386946]","[0.8988270800466425, 1.0138436056141575]","[0.8380005133470226, 1.0010735966470372]","[0.7497415476509554, 0.989076524719364]","[0.6264827492713346, 0.9137943745579952]","[0.4768015794669299, 0.8466052461709993]","[0.34584813123625907, 0.7496987346856798]","[0.2199248120300752, 0.6059923882490486]","[0.13030746705710103, 0.5099737027772433]","[0.1016949152542373, 1.0857142857142856]","[0.025, 3.3333333333333335]"
Colombia,"[1.7117281789425982, 5.885183373719378]","[0.4893813619389803, 0.4952827078476065]","[0.9393335714962987, 1.0159456070004556]","[0.9826777990386415, 1.0085575427003024]","[0.9763013368956985, 1.0281537269134762]","[0.9508663488309065, 1.0668632776754268]","[0.9357538148381124, 1.0757783419587001]","[0.9350587557102956, 1.0615860637048775]","[0.9346017998436364, 1.042733416924388]","[0.9359149625635281, 1.0267996402099848]","[0.9410418677821875, 1.014116543422961]","[0.9246314570415229, 1.0009948792786179]","[0.9259034523816339, 0.9890708242204412]","[0.8946935125582848, 0.9754969594551883]","[0.8571999339893862, 0.9591811697265137]","[0.7973221191028615, 0.930958180811716]","[0.675936716460077, 0.8884121668759593]","[0.5543154193104503, 0.7993648094428328]","[0.38367871059156927, 0.6095900127677685]","[0.23787185354691076, 0.4315237262538749]","[0.12479338842975207, 0.28453771346144896]","[0.05806451612903226, 0.18278427205100956]","[0.9341386025458838, 1.0147804755912515]","[0.9804034582132565, 1.0076973333039703]","[0.9736749014983751, 1.0216806739749256]","[0.9439030168884055, 1.0511869411807262]","[0.9239532106820896, 1.0609437490806957]","[0.9251581963214631, 1.0512695649788288]","[0.9253324667533247, 1.0360523707450366]","[0.9245925596467262, 1.0224955305618375]","[0.9265391493166433, 1.0102308898269046]","[0.9034986524763509, 0.9950031909349579]","[0.8870583667658859, 0.9800532256141098]","[0.852584273163437, 0.9581780077523693]","[0.8118458515458956, 0.9332354895179971]","[0.7583657863060256, 0.8919689501385584]","[0.6513318934485242, 0.8314979064662297]","[0.5179442348394221, 0.7152362317035442]","[0.35701125895598773, 0.5131120324736846]","[0.20145379023883697, 0.3692770413278378]","[0.10602094240837696, 0.25885265310515554]","[0.0379746835443038, 0.20298507462686566]"
Comoros,"[3.667596819200929, 5.7487075175862365]","[0.4859605728298602, 0.49750493988412203]","[0.8710587028966932, 1.0293999574940373]","[0.9199935737810266, 0.9839965397923875]","[0.9130849309420738, 0.9751570329592772]","[0.8711206449157527, 0.9913150466816241]","[0.8552228875582168, 1.014870931537598]","[0.868277911736668, 0.9958217270194986]","[0.8911694510739857, 1.0001259525159014]","[0.8842724679029957, 0.9925376822337534]","[0.8399128777566023, 0.972072018539426]","[0.8997701149425288, 1.004138770541692]","[0.8219284603421462, 0.9551530832255283]","[0.860248447204969, 1.048314404182441]","[0.8019026301063235, 0.9569829110194461]","[0.7204529370134466, 1.12392179413456]","[0.609, 0.8122461730709153]","[0.4868651488616462, 0.5759974667511083]","[0.3540983606557377, 0.4210164835164835]","[0.23636363636363636, 0.29411764705882354]","[0.0, 0.25]","[0.0, 0.08333333333333333]","[0.8720853315693733, 1.0613295342264297]","[0.9108200550596479, 1.0077206060312696]","[0.8571428571428571, 0.9660364915366014]","[0.7996787597332309, 0.9528918485633247]","[0.7491548969668905, 0.9701090285434276]","[0.8674319019864398, 1.052752603814419]","[0.9040983606557377, 1.0970174837161468]","[0.9035216434336023, 1.0727841198284012]","[0.8602183765966214, 1.01952770208901]","[0.8879079721776351, 1.028733306353703]","[0.8354527347939329, 0.9903474903474904]","[0.835990888382688, 0.9837673920799144]","[0.6950266429840142, 0.9446009389671362]","[0.7017405063291139, 0.9224035959309203]","[0.5894495412844036, 0.7571059431524548]","[0.4592445328031809, 0.5115156017830609]","[0.32286995515695066, 0.3648]","[0.2, 0.23756906077348067]","[0.0, 0.16666666666666666]","[0.0, 0.0]"
Congo,"[4.08116223445296, 5.632967072751299]","[0.4933957700879278, 0.49954665138579607]","[0.8965281912035894, 0.9919350845281051]","[0.9576073463649553, 1.001700770444933]","[0.9752519837014797, 1.0236885001262712]","[0.9538078615339126, 1.0663100790914621]","[0.914766952228837, 1.0815438089338565]","[0.8951002522905325, 1.063401355290847]","[0.8887522664276931, 1.0392227118178907]","[0.8994911245430872, 1.01435968804504]","[0.9274794350457861, 0.9950554115136636]","[0.914430764702997, 0.9892135838427808]","[0.8955411346033075, 0.9696612785313947]","[0.8660335159314123, 0.973881561934316]","[0.816772563729618, 0.8966962284377741]","[0.7370517928286853, 0.8054961832061068]","[0.5820691108301728, 0.7134622312957848]","[0.47676972461564454, 0.5979372277051658]","[0.31902472527472525, 0.4525484812081689]","[0.1840607210626186, 0.3248031496062992]","[0.12771084337349398, 0.28530259365994237]","[0.0, 0.28735632183908044]","[0.8859466040525263, 0.988516920636056]","[0.9501178976192287, 1.0001657885266253]","[0.9687356199780539, 1.0196065029981591]","[0.9415784420086541, 1.0583243948252332]","[0.8924052495291902, 1.0757466315555986]","[0.8746285987500427, 1.0642779839208412]","[0.88326277046146, 1.0444070699511645]","[0.9050101289589406, 1.0219498690890663]","[0.9163923081762325, 1.0007683941743901]","[0.9003667481662592, 0.9787334370726647]","[0.8750053581379399, 0.9555580583399031]","[0.846044776119403, 0.9202138908190085]","[0.7900240384615385, 0.8667761182076643]","[0.7115787469053514, 0.787241643276346]","[0.5684010324684147, 0.6842270058708415]","[0.45403770072143357, 0.5658658922914467]","[0.31164901664145234, 0.44783715012722647]","[0.1904, 0.36351531291611183]","[0.09981167608286252, 0.42990654205607476]","[0.0, 0.5483870967741935]"
Cook Islands,"[2.3376406836181745, 7.435361216730038]","[0.47875473285654185, 0.50173869846001]","[0.7872340425531915, 1.1409214092140922]","[0.7502448579823702, 1.0041152263374487]","[0.6649350649350649, 1.0014144271570014]","[0.5484790874524715, 1.0600315955766193]","[0.6143250688705234, 1.1891891891891893]","[0.7001675041876047, 1.2070393374741202]","[0.7886497064579256, 1.1252236135957066]","[0.8449074074074074, 1.1608775137111518]","[0.8151260504201681, 1.162313432835821]","[0.8206521739130435, 1.1425389755011135]","[0.7211155378486056, 1.1769662921348314]","[0.7587209302325582, 1.2183098591549295]","[0.6781609195402298, 1.0719424460431655]","[0.6283783783783784, 1.0786026200873362]","[0.5444444444444444, 0.9386503067484663]","[0.48484848484848486, 0.723404255319149]","[0.3333333333333333, 0.703125]","[0.0, 0.47368421052631576]","[0.0, 0.25]","[0.0, 0.0]","[0.7720891824938068, 1.1507731958762886]","[0.7933333333333333, 1.0038961038961038]","[0.6673064619321817, 0.9285051067780873]","[0.4911955514365153, 0.9426336375488917]","[0.5907859078590786, 1.112810707456979]","[0.7140221402214022, 1.1674008810572687]","[0.8212765957446808, 1.1289640591966172]","[0.8235294117647058, 1.1102803738317757]","[0.7659574468085106, 1.118067978533095]","[0.8306010928961749, 1.1126126126126126]","[0.7896995708154506, 1.1416666666666666]","[0.7205882352941176, 1.1114369501466275]","[0.7364864864864865, 1.2007874015748032]","[0.6133333333333333, 1.102803738317757]","[0.4274193548387097, 0.7650273224043715]","[0.3953488372093023, 0.8490566037735849]","[0.2727272727272727, 0.6896551724137931]","[0.0, 0.375]","[0.0, 0.14285714285714285]","[0.0, 0.0]"
Costa Rica,"[1.6204252133884722, 5.771158658725141]","[0.48740034578810876, 0.4932352578010619]","[0.9611578544793957, 1.0062256498770334]","[0.9933459926868693, 1.003750451489048]","[0.9954274757084647, 1.016086535247021]","[0.997710457696466, 1.0454281644066903]","[0.9980283247974224, 1.0554288526726605]","[0.994824528247027, 1.0416533944195567]","[0.9881694306538502, 1.026976925703693]","[0.9786316408547344, 1.0178588334523921]","[0.9689342191447553, 1.0105880609025264]","[0.953981385729059, 1.0038150119385862]","[0.9313104853379902, 0.9946899815512954]","[0.8996504782928624, 0.9811901758551607]","[0.8556618819776715, 0.9634455354314838]","[0.8009071004066313, 0.9391075374994122]","[0.7090252707581227, 0.8965113638348794]","[0.5954041854739434, 0.812794533459001]","[0.4151873767258383, 0.653704347826087]","[0.24206349206349206, 0.4402945817990531]","[0.12222222222222222, 0.26399197592778334]","[0.0, 0.16153846153846155]","[0.9576667317476543, 1.0054385547896363]","[0.993692913266159, 1.0028356767705315]","[0.9937653403085082, 1.0122770945113846]","[0.9908090155202306, 1.0366597866997247]","[0.9884760391719821, 1.0465675557498906]","[0.9862971212676572, 1.0353646474637168]","[0.9814931720769512, 1.0224624735767005]","[0.9729227405247813, 1.0138430320539276]","[0.9632280036211579, 1.0067122244179243]","[0.947744716643886, 1.0001812730948896]","[0.9240421839540782, 0.9884073925807313]","[0.8910916803739936, 0.9706077748475027]","[0.8350709849157054, 0.9425095524616803]","[0.7690974956686092, 0.9064113061122779]","[0.6652531803442255, 0.8458468258151969]","[0.5376727596968346, 0.7371996547595846]","[0.3732558139534884, 0.555032925682032]","[0.23123732251521298, 0.3567807351077313]","[0.13725490196078433, 0.25914634146341464]","[0.0, 0.35]"
Côte d'Ivoire,"[4.201835807291732, 6.22382639983391]","[0.49323204556722927, 0.5077055056282833]","[0.8490060616798827, 0.9815686445417765]","[0.9254431906048256, 1.008688226664623]","[0.9512354501909549, 1.1422080362602165]","[0.9354067199942672, 1.2444977417224288]","[0.9274295963517097, 1.1737009035727257]","[0.9222011469952417, 1.068361620478038]","[0.8556476617741722, 1.0382988941992315]","[0.8324806092229586, 1.012487775520951]","[0.867726225776601, 0.992102272255913]","[0.8772088739932214, 0.9703711329592835]","[0.8716265902920995, 0.9442579446692762]","[0.8533542300482468, 0.9087220909573787]","[0.7911547911547911, 0.8608224024953736]","[0.6946070878274269, 0.7971007559085255]","[0.571241961414791, 0.7456055572334642]","[0.44259404388714735, 0.7925516438754728]","[0.32077764277035237, 0.9118267629094947]","[0.1768916155419223, 1.0429772656493304]","[0.09137055837563451, 1.0244215938303343]","[0.059800664451827246, 0.9083969465648855]","[0.8327774170259621, 0.9764309695444398]","[0.9238205344653919, 0.9945288354649955]","[0.9494087115147923, 1.0837938452795834]","[0.9291390270867883, 1.2560790842426857]","[0.9296700339814652, 1.2531290601118472]","[0.928708771573885, 1.1437889661923255]","[0.924313857078318, 1.0951058149122463]","[0.9000301291397265, 1.0559575848162668]","[0.8858076308160336, 1.0249276911899767]","[0.863400183229793, 0.9944205489627058]","[0.849082823790995, 0.9632302718455443]","[0.8239889380008036, 0.9222944119082479]","[0.7740644585186778, 0.8621302765343263]","[0.6996239233288851, 0.7812932386311225]","[0.5926495069791267, 0.7075230994079615]","[0.4622413329750067, 0.7040152197857215]","[0.32246998284734135, 0.795896197948099]","[0.1833545918367347, 0.9003649635036496]","[0.1022964509394572, 0.8814814814814815]","[0.04157782515991471, 0.7319587628865979]"
Croatia,"[1.4233915468840923, 2.6806339940710298]","[0.48555246574992983, 0.4949213567832798]","[0.9349169354880201, 1.0093136738349802]","[0.9621478263451129, 1.0372985231782716]","[0.9606197384693614, 1.0363124070028809]","[0.9457730508495131, 1.0317670611788259]","[0.9427002357189428, 1.015555456896456]","[0.9529823751250673, 1.009942231841472]","[0.9459321690271382, 1.0162892750570476]","[0.9339889466840052, 1.027741988954439]","[0.9185938895058906, 0.9941940383758372]","[0.9010048928053105, 0.9931426930188306]","[0.9253547087316216, 0.9810709683643305]","[0.9065416269700065, 0.9767858756891928]","[0.8967255076192624, 0.9638872980407024]","[0.8222148204542571, 0.9333853615028709]","[0.6803899872648699, 0.8719278113054892]","[0.5333852010336492, 0.7657461963850951]","[0.40383365821962314, 0.6091941731422732]","[0.285048049745619, 0.4206297815190541]","[0.1473390657680688, 0.2566931085770947]","[0.06684856753069578, 0.13070283600493218]","[0.9261681017967694, 1.001080015026296]","[0.9611043619310046, 1.0270517590322819]","[0.9584936528615142, 1.0334671687573256]","[0.9466603160042573, 1.0356958006970083]","[0.9330849822548495, 1.0168950788048374]","[0.9412178639457432, 1.0018338493088557]","[0.9248812688890404, 0.9969412503518915]","[0.9082165850263376, 1.0101352863755606]","[0.8946138536913245, 0.9812165375860008]","[0.8538018323233287, 0.9767859228164201]","[0.8704427710263275, 0.9565378516794956]","[0.8369451999305596, 0.9308876664171088]","[0.8157385508492797, 0.903462975830532]","[0.7295436745125521, 0.8576690483477747]","[0.6012960712839206, 0.7820227352630962]","[0.4714707525337164, 0.6698003516533378]","[0.35034602076124566, 0.5200825782773254]","[0.23608223608223608, 0.38032649141759695]","[0.1245836109260493, 0.24495138369483918]","[0.03723404255319149, 0.14961832061068703]"
Cuba,"[1.4634463683759138, 4.336770543296412]","[0.479666173894198, 0.4891666350523476]","[0.9579848571247545, 1.0078381140167816]","[0.9664875419699483, 1.0032759447973312]","[0.9422662445814628, 0.9998392291871095]","[0.9322343807798021, 0.990968860805967]","[0.9548861837153165, 0.989397688701885]","[0.9642477163588264, 0.993296839005391]","[0.9417032769906653, 0.9933448054993403]","[0.9239964920886193, 0.9882188927393818]","[0.9205411112466506, 0.9885020465454117]","[0.9240780192207546, 0.984736402626485]","[0.920167158627699, 0.9767848114793517]","[0.9100678902940912, 0.960662936820037]","[0.8717825503024926, 0.9399455303892164]","[0.7986888828189019, 0.9077212138400453]","[0.6828868731608166, 0.8595762873375536]","[0.5424309614996976, 0.7866795212977865]","[0.38849701573521433, 0.68998331303838]","[0.24823372159633378, 0.6675837207096101]","[0.14924506387921022, 0.8548499651081647]","[0.06666666666666667, 0.49448123620309054]","[0.9531836163488069, 1.001074550654695]","[0.9638376116305596, 1.001937833443081]","[0.9338629732037054, 1.0003583826218436]","[0.9218978068258942, 0.9941952844402073]","[0.9447220279987956, 0.9845299071722693]","[0.9450609061901282, 0.9838201091593329]","[0.9422719736313102, 0.984224784828942]","[0.9218410673151224, 0.9833871733524489]","[0.9189057016282147, 0.9815527607006957]","[0.9280985053249243, 0.9738310976584897]","[0.9196090061172749, 0.9605153532044844]","[0.8871549398090494, 0.943772171771983]","[0.8393502229396692, 0.9160473832084891]","[0.7618955713585819, 0.8775286971740361]","[0.6484834505824011, 0.8231104430685219]","[0.5103253929813747, 0.7368161265017232]","[0.3517918163497766, 0.6338674870287893]","[0.21292688517075406, 0.6343789741415854]","[0.12228260869565218, 0.8466929478756022]","[0.04878048780487805, 0.4888888888888889]"
Curaçao,"[1.558437618505878, 4.891862275794452]","[0.48775720164609054, 0.49175218956531086]","[0.9096623300687035, 1.1306745083624334]","[0.8711092828739888, 1.033978044955567]","[0.7951862639889621, 1.1295921806538591]","[0.7404792866431358, 1.2651371398999482]","[0.8669665809768637, 1.2708948740225892]","[0.9563250883392226, 1.2556716798368595]","[0.9388048956083513, 1.2677350427350427]","[0.9182575961279914, 1.1272447408927655]","[0.8883693746347165, 1.0750356633380884]","[0.8661184210526316, 1.0417678484701312]","[0.8737334372564303, 1.0712669683257918]","[0.8974001857010213, 1.0663420572124163]","[0.8582514226590792, 1.027159780410286]","[0.8222222222222222, 0.9642072213500785]","[0.7150974025974026, 0.8534087846941525]","[0.579874213836478, 0.7489911218724778]","[0.4227129337539432, 0.6026936026936027]","[0.25170068027210885, 0.43778110944527737]","[0.1111111111111111, 0.2631578947368421]","[0.0, 0.13793103448275862]","[0.895602079527891, 1.1286394917946003]","[0.8524368840286216, 1.0394960844399046]","[0.7771256583897668, 1.2145140664961638]","[0.6771084337349398, 1.4600908500973393]","[0.7453866432337434, 1.520242214532872]","[0.8917061249427218, 1.5462748727441]","[0.9221084438475743, 1.402555910543131]","[0.8981162111966039, 1.2577468171991353]","[0.8577903682719547, 1.1320145337101333]","[0.8203434610303831, 1.0608475190148496]","[0.7871326449563145, 1.0734532906088243]","[0.8081180811808119, 1.0990151716795316]","[0.775623268698061, 1.0200196914998358]","[0.7338709677419355, 0.89921875]","[0.6644295302013423, 0.7262804366078925]","[0.5334872979214781, 0.5913173652694611]","[0.3793103448275862, 0.42758620689655175]","[0.2, 0.256198347107438]","[0.0, 0.14285714285714285]","[0.0, 0.0]"
Cyprus,"[1.3096239087332482, 3.7281214807280123]","[0.4821247464503043, 0.49186320963992264]","[0.9502801120448179, 1.0204360888836006]","[0.967886111570932, 1.0806312945222305]","[0.9206865936667653, 1.1900649372053929]","[0.9137576342012215, 1.2087919160713136]","[0.8976449996021959, 1.1450780224588013]","[0.8851760779836656, 1.0891904462258215]","[0.8991517436380773, 1.0910548775515752]","[0.9418019378381779, 1.07833799942437]","[0.905950317735413, 1.0428118960704316]","[0.8905114143604133, 1.0287014061207609]","[0.8702618568027833, 1.023647329370417]","[0.8297173683593292, 1.0617309061324112]","[0.7718727915194347, 1.0525420336269016]","[0.7063613231552163, 0.9704621248213435]","[0.5458693563880884, 0.8957078857363071]","[0.5343457280726653, 0.8200934579439252]","[0.3397573162027123, 0.842355175688509]","[0.22700587084148727, 0.6886446886446886]","[0.1329479768786127, 0.8287292817679558]","[0.0, 0.5]","[0.9458356164383561, 1.0153398275669019]","[0.9488467261904762, 1.1067583732057416]","[0.9189747361869466, 1.2842914741929454]","[0.9039147455415398, 1.257952108649035]","[0.8823469248602209, 1.1528908181105686]","[0.8849852423117205, 1.0492763545767483]","[0.8801511890387946, 1.0930697024166167]","[0.9318790448560589, 1.1445149488366775]","[0.9217887725975261, 1.0286557339839981]","[0.9293772111341032, 1.0224151281737783]","[0.9076789713212454, 1.0128071997230876]","[0.8613380698638248, 0.9844286353912741]","[0.8232059389606818, 0.9739475596802147]","[0.7110311750599521, 0.9466378222462593]","[0.6297277764394121, 0.8505713448578963]","[0.4817488969113518, 0.745525234741784]","[0.34889867841409694, 0.7737931034482759]","[0.2423469387755102, 0.5984251968503937]","[0.11904761904761904, 0.672566371681416]","[0.0, 0.375]"
