country,years,fertility,female_percentage,0-4_female,10-14_female,25-29_female,35-39_female,50-54_female,0-4_male,10-14_male,25-29_male,35-39_male,50-54_male
Afghanistan,10,0.32282590862369015,0.0,0.16014536918716993,0.1019772263602139,0.04345365967516465,0.014561766511282059,0.004250299149221935,0.1751570125795205,0.1142010117122912,0.04515020086871462,0.015181129728385378,0.003669674083530792
Afghanistan,20,0.2276023756428736,8.138423489148519e-05,0.1275293255880151,0.125579333497622,0.14988412208373564,0.011892120996811277,0.0026803482838340447,0.146820371189308,0.10750162515559773,0.06520150888086629,0.025750710849312387,0.007769074873348571
Afghanistan,50,0.15123123974689479,0.00024063579646388508,0.2175152728274328,0.2783303741764105,0.10436130672633141,0.0020429948720113284,0.0003795509471737464,0.07338280944558101,0.052467236663592855,0.04192047649954997,0.03231664473155486,0.01863644911311131
Afghanistan,100,0.1251007110675204,0.0006443133440994717,0.2655332285985493,0.31398595158553966,0.08392657535855759,-0.00020333710777237045,-0.0003074231675961208,0.03761106431627729,0.021213864354455228,0.014520228755249425,0.01279551849087297,0.005529480469578464
AFRICA,10,0.952204343920955,0.0,0.02088593351316926,0.0010975272997286029,0.0003167249358195157,0.0003774874318579038,0.00020505692210732716,0.02337746749294826,0.0008570308264580073,0.00041321431224372964,0.0003619193778119972,0.00020111205881562398
AFRICA,20,0.9400398400125428,1.2686289706608927e-06,0.022729503807256406,0.0019124551991944684,0.0013813434264525698,0.000362515181635249,0.00020040796039225953,0.030470051586458276,0.0013074288329642345,0.0006749999138828582,0.0006418877451526937,0.0005235239798746796
AFRICA,50,0.9147236043259054,1.8406980945678567e-05,0.05264587637143393,0.005531303422924372,0.0014967131606491823,0.00010895432033024299,4.8340922110269965e-05,0.02079560403990663,0.0008710320762283013,0.0007650291075792401,0.001041796816214524,0.001311801738055397
AFRICA,100,0.8998211329428254,8.281786572591151e-05,0.07389968237781276,0.006797813846184146,0.001341457840675647,1.2807100583920646e-05,1.3980427123332703e-06,0.011299110069893698,0.0004610919266852892,0.0004429306910054944,0.0006912182910857078,0.0005856436168512488
Albania,10,0.991368287642937,0.0,0.0003232797459230725,0.0006755034967195157,0.0014964636710719068,0.0005449815673362733,0.0005087291722754384,0.0005479489255200183,0.0014038993895115915,0.0021498582582583133,0.0008046630690602291,0.000548448023854544
Albania,20,0.9844135069740789,2.0361768465125296e-06,0.0015972961008714661,0.0011510679579262875,0.004871682385466809,0.0008550240738525455,0.000476883371250284,0.002164629180967942,0.00085863408474751,0.0019227299633115872,0.0014589691930404823,0.0004848964456955817
